vehicle_id,fuel_type,vehicle_type,timestamp,mq2,mq135,co2_ppm,co_ppm,nox_ppb,pm25_ugm3,temperature,humidity,aqi_status
VH001,Diesel,Heavy Truck,2026-07-24 18:36:41.213000,190.5,178.2,429.5,8.22,32.7,3.87,54.4,54.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:36:56.213000,277.0,285.5,489.3,5.55,75.3,5.55,60.9,37.6,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:37:11.213000,145.0,292.4,438.5,4.08,66.5,4.38,82.1,48.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:37:26.213000,138.2,316.4,402.2,3.05,25.1,7.64,66.9,40.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:37:41.213000,255.6,110.3,555.9,6.97,47.5,4.91,77.0,55.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:37:56.213000,276.7,336.5,498.8,0.91,73.2,12.83,69.8,60.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:38:11.213000,251.7,269.7,517.5,0.0,61.5,11.46,79.8,38.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:38:26.213000,160.1,328.4,430.4,2.62,30.7,1.94,57.4,52.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:38:41.213000,241.7,344.6,466.7,6.91,47.8,12.92,72.5,42.1,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:38:56.213000,197.9,205.6,492.8,4.32,51.2,9.39,73.2,62.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:39:11.213000,282.7,301.3,441.0,1.42,55.8,12.8,88.5,46.5,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:39:26.213000,227.6,290.1,417.2,1.5,60.5,13.61,56.9,37.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:39:41.213000,287.1,239.4,596.0,4.49,56.2,8.34,72.8,50.8,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:39:56.213000,297.6,255.1,446.2,5.65,19.4,23.92,81.5,38.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:40:11.213000,349.5,111.4,446.7,10.75,49.5,25.21,88.1,63.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:40:26.213000,296.2,218.0,458.5,4.05,69.8,1.73,76.5,61.4,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:40:41.213000,280.1,282.1,538.0,3.03,72.6,6.64,69.8,39.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:40:56.213000,214.8,128.7,421.6,3.88,20.6,3.26,65.9,44.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:41:11.213000,131.0,275.3,553.3,6.42,28.4,13.0,63.8,43.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:41:26.213000,283.3,274.6,529.6,2.41,57.6,2.64,68.7,40.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:41:41.213000,156.9,130.1,576.4,6.89,49.4,2.68,67.2,61.0,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:41:56.213000,148.2,204.0,591.7,4.98,23.0,3.79,85.0,39.7,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:42:11.213000,256.5,304.6,542.6,2.91,47.7,0.11,77.3,46.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:42:26.213000,208.3,114.9,439.7,1.48,44.3,12.11,63.1,42.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:42:41.213000,243.2,190.7,527.8,5.63,17.4,9.21,80.4,58.3,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:42:56.213000,192.1,297.8,463.5,2.16,69.2,16.28,64.9,46.9,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:43:11.213000,204.5,296.9,479.6,1.85,51.9,1.95,86.9,42.6,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:43:26.213000,227.5,321.2,497.4,3.85,80.7,3.38,68.2,48.2,Safe
VH001,Diesel,Heavy Truck,2026-07-24 18:43:41.213000,175.2,95.5,421.8,6.42,14.3,13.44,70.8,35.5,Safe
